Nama_Daerah,HLS,PPM,IPM,AHHL,AHHP,kategori
Sabu Raijua,13.17,28.73,57.9,58.98,62.7,Perlu Pembangunan
Tambrauw,12.19,32.45,54.63,58.82,62.5,Perlu Pembangunan
Pegunungan Arfak,11.78,33.71,57.01,65.49,69.46,Perlu Pembangunan
Jayawijaya,12.83,35.8,59.6,58.47,62.01,Perlu Pembangunan
Paniai,10.52,36.63,57.14,64.46,68.9,Perlu Pembangunan
Puncak Jaya,7.5,36.3,49.84,63.76,67.59,Perlu Pembangunan
Mappi,10.84,26.04,59.61,63.75,67.56,Perlu Pembangunan
Asmat,9.49,24.87,52.22,57.15,60.66,Perlu Pembangunan
Yahukimo,7.8,36.21,50.25,64.33,68.28,Perlu Pembangunan
Pegunungan Bintang,6.59,30.32,47.21,62.48,66.73,Perlu Pembangunan
Tolikara,8.83,31.31,50.51,64.13,67.99,Perlu Pembangunan
Mamberamo Raya,11.82,30.73,53.1,56.6,60.04,Perlu Pembangunan
Nduga,4.07,36.73,34.1,53.86,57.36,Perlu Pembangunan
Lanny Jaya,9.07,37.76,49.62,64.18,68.28,Perlu Pembangunan
Mamberamo Tengah,9.44,35.92,49.25,62.14,65.95,Perlu Pembangunan
Yalimo,9.5,31.68,49.9,63.56,67.68,Perlu Pembangunan
Puncak,5.58,36.25,43.87,64.51,68.07,Perlu Pembangunan
Dogiyai,10.61,29.48,55.72,64.19,68.07,Perlu Pembangunan
Intan Jaya,7.67,42.03,49.25,63.89,67.86,Perlu Pembangunan
Deiyai,9.84,40.31,50.42,63.72,67.61,Perlu Pembangunan
Region_548,12.4,9.55,52.74,64.97,77.3,Perlu Pembangunan
Region_551,12.36,43.07,38.05,78.87,67.39,Perlu Pembangunan
Region_552,10.66,36.77,52.15,76.88,78.59,Perlu Pembangunan
Region_555,9.23,29.28,41.35,61.61,72.24,Perlu Pembangunan
Region_556,8.48,35.35,34.65,67.42,64.78,Perlu Pembangunan
Region_557,14.84,32.62,38.52,53.01,55.44,Perlu Pembangunan
Region_561,14.79,42.58,42.84,59.4,67.12,Perlu Pembangunan
Region_566,17.13,32.42,49.93,65.18,77.26,Perlu Pembangunan
Region_568,4.16,42.36,51.73,61.15,72.05,Perlu Pembangunan
Region_571,9.99,14.33,44.19,55.05,74.27,Perlu Pembangunan
Region_575,15.91,38.69,58.83,66.53,74.37,Perlu Pembangunan
Region_576,17.21,35.94,55.45,61.57,63.02,Perlu Pembangunan
Region_577,10.69,10.71,57.5,54.62,60.89,Perlu Pembangunan
Region_584,11.51,41.46,39.83,53.99,72.0,Perlu Pembangunan
Region_586,19.97,35.24,47.38,75.57,54.55,Perlu Pembangunan
Region_588,15.14,13.31,40.64,71.83,78.48,Perlu Pembangunan
Region_591,15.23,14.62,49.86,58.17,64.74,Perlu Pembangunan
Region_594,17.29,14.37,36.45,64.05,77.9,Perlu Pembangunan
Region_596,6.64,12.23,52.8,73.0,76.15,Perlu Pembangunan
Region_603,4.74,8.28,41.09,70.61,56.65,Perlu Pembangunan
Region_605,6.99,3.58,44.34,63.22,69.5,Perlu Pembangunan
Region_606,12.37,31.1,50.78,69.28,57.64,Perlu Pembangunan
Region_608,10.17,26.51,39.05,64.51,56.94,Perlu Pembangunan
Region_609,10.32,32.96,58.72,73.22,66.21,Perlu Pembangunan
Region_615,16.04,10.56,42.86,73.88,65.56,Perlu Pembangunan
Region_618,15.12,4.08,44.44,69.28,65.88,Perlu Pembangunan
Region_619,17.86,43.51,56.55,78.55,78.36,Perlu Pembangunan
Region_621,14.62,34.29,45.62,63.92,74.56,Perlu Pembangunan
Region_625,14.6,15.03,47.79,64.09,62.49,Perlu Pembangunan
Region_626,5.95,39.6,35.42,65.58,74.76,Perlu Pembangunan
Region_627,6.06,44.93,37.92,67.75,68.54,Perlu Pembangunan
Region_628,5.83,8.96,47.42,69.48,65.06,Perlu Pembangunan
Region_630,16.33,17.16,49.33,67.99,63.24,Perlu Pembangunan
Region_631,13.32,15.18,38.69,78.03,78.55,Perlu Pembangunan
Region_632,8.33,26.36,58.85,55.74,57.69,Perlu Pembangunan
Region_633,6.77,14.2,57.06,55.04,57.06,Perlu Pembangunan
Region_640,8.35,14.73,53.69,66.0,75.4,Perlu Pembangunan
Region_641,16.94,36.64,42.11,66.14,60.62,Perlu Pembangunan
Region_642,16.04,40.27,52.43,61.27,61.4,Perlu Pembangunan
Region_645,13.31,17.75,44.18,57.6,70.43,Perlu Pembangunan
Region_649,19.61,7.44,50.98,67.21,66.37,Perlu Pembangunan
Region_652,17.94,12.25,47.16,72.87,68.69,Perlu Pembangunan
Region_654,5.76,15.3,47.0,56.0,73.34,Perlu Pembangunan
Region_659,11.59,43.24,45.75,57.72,74.79,Perlu Pembangunan
Region_660,7.46,34.36,48.28,65.12,64.55,Perlu Pembangunan
Region_662,8.47,9.66,49.41,73.3,70.2,Perlu Pembangunan
Region_666,6.58,44.86,55.5,74.54,55.74,Perlu Pembangunan
Region_667,19.82,42.15,41.4,72.11,70.72,Perlu Pembangunan
Region_668,18.72,4.34,41.86,57.62,53.37,Perlu Pembangunan
Region_669,6.39,21.45,59.96,55.06,62.05,Perlu Pembangunan
Region_672,12.67,26.66,58.57,64.51,65.49,Perlu Pembangunan
Region_673,4.17,12.55,53.7,56.39,53.38,Perlu Pembangunan
Region_677,13.18,13.4,46.53,60.46,64.44,Perlu Pembangunan
Region_678,19.17,25.34,44.63,71.83,77.53,Perlu Pembangunan
Region_679,15.28,41.79,50.55,62.33,75.1,Perlu Pembangunan
Region_681,7.16,40.55,54.73,68.13,78.95,Perlu Pembangunan
Region_686,15.24,33.23,59.85,71.58,75.5,Perlu Pembangunan
Region_691,14.66,22.12,41.31,63.54,67.95,Perlu Pembangunan
Region_692,8.0,16.88,37.67,58.76,69.18,Perlu Pembangunan
Region_693,15.04,14.23,35.57,68.82,61.67,Perlu Pembangunan
Region_698,19.71,13.13,40.23,74.0,56.61,Perlu Pembangunan
Region_699,6.46,24.51,42.76,78.23,63.2,Perlu Pembangunan
Region_700,4.66,42.9,35.04,62.82,60.2,Perlu Pembangunan
Region_701,6.16,10.79,47.02,59.53,54.34,Perlu Pembangunan
Region_703,10.93,25.04,38.6,53.63,67.72,Perlu Pembangunan
Region_708,7.39,34.86,35.02,67.56,68.6,Perlu Pembangunan
Region_712,11.62,15.53,41.85,70.13,59.08,Perlu Pembangunan
Region_716,18.72,31.54,48.25,59.93,72.26,Perlu Pembangunan
Region_718,17.64,28.27,39.98,59.8,68.18,Perlu Pembangunan
Region_719,16.01,6.21,49.16,78.14,55.28,Perlu Pembangunan
Region_720,18.69,26.33,46.21,66.89,57.64,Perlu Pembangunan
Region_721,4.08,7.0,53.67,75.05,62.01,Perlu Pembangunan
Region_723,5.38,12.41,35.47,64.57,60.53,Perlu Pembangunan
Region_724,8.99,17.17,47.81,54.01,73.21,Perlu Pembangunan
Region_725,9.63,31.46,45.24,59.3,58.95,Perlu Pembangunan
Region_726,13.74,7.9,39.93,74.73,62.7,Perlu Pembangunan
Region_730,16.7,28.0,47.23,55.26,63.14,Perlu Pembangunan
Region_731,19.04,10.34,58.36,59.46,63.28,Perlu Pembangunan
