nama_daerah,AHHL,AHHP,HLS,IPM,PPM
ACEH,68.07,71.94,14.39,74.03,14.23
Aceh Barat,65.96,69.93,14.93,73.69,17.6
Aceh Barat Daya,63.1,66.93,13.69,68.75,15.32
Aceh Besar,67.8,71.69,14.77,75.13,13.21
Aceh Jaya,65.19,69.09,14.06,71.83,12.25
Aceh Selatan,62.46,66.26,14.71,69.1,12.02
Aceh Singkil,65.4,69.31,14.36,70.75,19.06
Aceh Tamiang,67.59,71.54,14.51,72.32,12.17
Aceh Tengah,66.8,70.78,15.03,75.41,14.27
Aceh Tenggara,66.17,70.14,14.47,71.7,11.99
Aceh Timur,66.76,70.65,13.08,69.87,13.26
Aceh Utara,66.78,70.73,14.75,71.7,16.11
Agam,70.58,74.39,14.16,74.66,6.83
Alor,59.78,63.42,12.48,63.82,19.87
Asahan,66.34,70.33,12.65,72.09,8.12
Asmat,56.83,60.28,9.71,53.92,24.5
BALI,70.39,74.17,13.62,77.76,4
BANTEN,68.15,71.99,13.1,74.48,5.84
BENGKULU,67.54,71.4,13.75,73.39,13.56
Badung,73.35,76.77,14.23,83.87,2.23
Balangan,65.87,69.77,13.09,71.34,4.87
Bandung,71.94,75.52,12.74,74.27,6.19
Bandung Barat,70.7,74.39,12,70.03,10.49
Banggai,68.9,72.76,13.35,72.32,6.56
Banggai Kepulauan,64.64,68.45,13.11,67.43,12.32
Banggai Laut,63.72,67.52,13.04,67.43,13.78
Bangka,69.15,73,13.12,73.98,4.24
Bangka Barat,68.07,72.03,11.79,70.67,2.59
Bangka Selatan,66.26,70.34,11.71,68.86,3.74
Bangka Tengah,69.57,73.39,12.15,71.9,5.94
Bangkalan,68.19,72.14,11.98,66.27,18.66
Bangli,68.61,72.53,12.53,71.34,5.06
Banjar,65.45,69.32,13.04,71.87,2.36
Banjarnegara,72.4,76.11,11.83,69.6,14.71
Bantaeng,68.45,72.53,12.79,71.48,8.26
Bantul,71.97,75.71,15.63,81.74,11.66
Banyu Asin,66.83,71,12.34,69.51,9.31
Banyumas,71.93,75.71,13.34,74.52,11.95
Banyuwangi,68.67,72.67,13.14,73.11,6.54
Barito Kuala,64.33,68.15,12.56,68.84,4.36
Barito Selatan,65.17,69.08,13,72.36,4.83
Barito Timur,66.24,70.25,12.88,73.26,6.66
Barito Utara,69.31,73.19,12.55,72.31,5.67
